"Source:","/Users/nams/Documents/projects/kicad/kicad-diode-readout/diode_readout.sch"
"Date:","Friday, February 02, 2018 'PMt' 08:34:48 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/saewoo_bom.py"
"Component Count:","81"
"Ref","MPN","Qnty","Value","Cmp name","Footprint","Description","Description","Digikey","Height","MFN2","MFR","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Part","RS Part Number","SPN","SPR","SPURL","Supplier_Name"
"C101, C102, C202, C201, C204, C207, C206, C302, C301, C304, C307, C306, C402, C401, C404, C407, C406, C502, C501, C504, C507, C506, ","CL21B104KOANNNC","22","0.1uF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","","490-1767-1-ND ","","","","CL21B104KOANNNC","","","","GRM31C5C1E104JA01L ","","490-1767-1-ND ","digikey","-",""
"C203, C303, C403, C503, ","CC0805KKX7R8BB105","4","1uF 6.3V X7R 0805","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","","","","","-","CC0805KKX7R8BB105","Yageo","","","","","311-3418-1-ND","digikey","-",""
"C205, C305, C405, C505, ","F930J106KAA","4","10uF","CP1","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand","Polarised capacitor","","","","F930J106KAA ","AVX","F930J106KAA","Vishay","","","","","478-8150-1-ND","digikey","-",""
"IC101, ","ADR440ARMZ ","1","ADR440ARMZ","ADR440ARMZ","ADR440ARMZ:SOP65P490X110-8N","V-Ref Precision 2.048V 10mA 8-Pin MSOP","V-Ref Precision 2.048V 10mA 8-Pin MSOP","","1.1","","ADI","ADR440ARMZ ","","Analog Devices","ADR440ARMZ","","7098199","584-ADR440ARMZ ","Mouser","-","RS"
"IC201, IC301, IC401, IC501, ","AD8276ARMZ","4","AD8276ARMZ","AD8276ARMZ","AD8276ARMZ:SOP65P490X110-8N","Analog Devices AD8276ARMZ, Differential Amplifier 0.55MHz Rail to Rail Output 8-pin MSOP","Analog Devices AD8276ARMZ, Differential Amplifier 0.55MHz Rail to Rail Output 8-pin MSOP","","1.1","","ADI","AD8276ARMZ","","Analog Devices","AD8276ARMZ","","7590042","584-AD8276ARMZ","Mouser","-","RS"
"IC202, IC302, IC402, IC502, ","AD8237ARMZ-R7","4","AD8237ARMZ","AD8237ARMZ","AD8237ARMZ:SOP65P490X110-8N","Instrumentation Amp Micropower RRIO MSOP Analog Devices AD8237ARMZ Instrumentation Amplifier, 75V Offset 6MHz GBW, CMMR 106dB, 1.8  5.5 V, 8-Pin MSOP","Instrumentation Amp Micropower RRIO MSOP Analog Devices AD8237ARMZ Instrumentation Amplifier, 75V Offset 6MHz GBW, CMMR 106dB, 1.8  5.5 V, 8-Pin MSOP","","1.1","","Analog Devices","AD8237ARMZ-R7","","Analog Devices","AD8237ARMZ","","7785105","AD8237ARMZ-R7CT-ND","digikey","-","RS"
"IC203, IC303, IC403, IC503, ","AD8603AUJZ","4","AD8603AUJZ-R2","AD8603AUJZ-R2","AD8603AUJZ-R2:SOT95P280X100-5N","AD8603AUJZ-R2, Operational Amplifier 0.4MHz CMOS, Rail-Rail, 3 V, 5-Pin TSOT","AD8603AUJZ-R2, Operational Amplifier 0.4MHz CMOS, Rail-Rail, 3 V, 5-Pin TSOT","","1","","ADI","AD8603AUJZ","","Analog Devices","AD8603AUJZ-R2","","6977322","AD8603AUJZ-R2","Mouser","-","RS"
"J101, J102, ","A-DF 09 A/KG-T4S","2","DB9_Female_MountingHoles","DB9_Female_MountingHoles","Connectors_DSub:DB9_ASSMANN","9-pin female D-SUB connector, Mounting Hole","","","","","ASSMANN","A-DF 09 A/KG-T4S","","","","","","AE10921-ND","digikey","-",""
"J104, J105, J103, J106, ","0734130040","4","Conn_Coaxial","Conn_Coaxial","parts:73413-0040_SSMCX","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)","","","","","Molex","0734130040","","","","","","-","-","-",""
"J107, J108, ","B2B-PH-K-S(LF)(SN)","2","Conn_01x02","JST_lipo_adafruit","parts:JST_lipo_adafruit","Generic connector, single row, 01x02","","","","","JST","B2B-PH-K-S(LF)(SN)","","","","","","455-1704-ND","digikey","-",""
"L201, L301, L401, L501, ","MMZ2012Y152BTD25","4","MMZ2012Y152B ","Ferrite_Bead_Small","Inductors_SMD:L_0805_HandSoldering","Ferrite bead, small symbol","","","","","TDK","MMZ2012Y152BTD25","","","","","","445-172871-1-ND","digikey","-",""
"MH101, MH102, MH103, MH104, ","-","4","MountingHole","MountingHole","Mounting_Holes:MountingHole_3.5mm_Pad","Generic Mounting Hole","","","","","-","-","","","","","","-","-","-",""
"R104, R103, R102, R101, ","-","4","open","R","Resistors_SMD:R_0805_HandSoldering","Resistor","","","","","-","-","","","","","","-","-","-",""
"R105, ","RC0805FR-071K05L","1","1050","R","Resistors_SMD:R_0805_HandSoldering","Resistor","","","","","-","RC0805FR-071K05L","","","","","","-","-","-",""
"R106, ","RT0805FRE071KL","1","1K","R","Resistors_SMD:R_0805_HandSoldering","Resistor","","","","","-","RT0805FRE071KL","","","","","","-","-","-",""
"R201, R204, R205, R301, R304, R305, R401, R404, R405, R501, R504, R505, ","RT0805DRE07100KL","12","100k","R","Resistors_SMD:R_0805_HandSoldering","Resistor","","","","","Yageo","RT0805DRE07100KL","","","","","","311-2774-1-ND","digikey","-",""
"R202, R302, R402, R502, ","RT0805DRE0710KL","4","10k","R","Resistors_SMD:R_0805_HandSoldering","Resistor","","","","","Yageo","RT0805DRE0710KL","","","","","","YAG3358CT-ND","digikey","-",""
